Source	Interaction	Target
Rfx2	->	Myo1e
Rfx2	->	Mypop
Rfx2	->	Pgpep1
Rfx2	->	Ptpn13
Rfx2	->	Rfx2
Rfx2	->	Rpp38
Rfx2	->	Rras
Rfx2	->	Rrp12
Rfx2	->	Serf1
Rfx2	->	Slc7a1
Rfx2	->	Swap70
Rfx2	->	Trim46
Hmgb3	->	Adnp
Hmgb3	->	Arap1
Hmgb3	->	Ctnnd1
Hmgb3	->	Dnlz
Hmgb3	->	Hmgn5
Hmgb3	->	Nasp
Hmgb3	->	Slc12a2
Hmgb3	->	Vat1
Hmgb3	->	Col10a1
Hmgb3	->	Ip6k2
Hmgb3	->	Nav1
Hmgb3	->	Atxn2
Hmgb3	->	Bcl2l2
Hmgb3	->	Hmgb3
Hmgb3	->	Ncf2
Hmgb3	->	Olfm1
Hmgb3	->	Pld2
Hmgb3	->	Rwdd3
Hmgb3	->	Slc29a4
Hmgb3	->	Spry3
Hmgb3	->	Ier3
Hmgb3	->	Stk38l
Vdr	->	2810459M11Rik
Vdr	->	AI661453
Vdr	->	Foxp3
Vdr	->	Kif3c
Vdr	->	Lefty1
Vdr	->	Tnfsf8
Vdr	->	Vdr
Vdr	->	Zbtb16
Vdr	->	Krt83
Vdr	->	Lmo4
Vdr	->	Sag
Vdr	->	Cyb561
Vdr	->	Frmd5
Vdr	->	Lmna
Vdr	->	Vdr
Gm17655	->	Cnga1
Gm17655	->	Hus1
Gm17655	->	Ifi205
Gm17655	->	Klhl20
Gm17655	->	Mbtd1
Gm17655	->	Myo5a
Gm17655	->	Tmem184b
Gm17655	->	D930016D06Rik
Gm17655	->	Slc29a1
Ahr	->	Stc2
Ahr	->	Tanc2
Ahr	->	Bmpr2
Ahr	->	Golga3
Ahr	->	Prkrir
Ahr	->	Ptpn3
Ahr	->	S100z
Ahr	->	Slco2a1
Ahr	->	Adamts10
Ahr	->	Depdc5
Ahr	->	Lnp
Ahr	->	Lrrc58
Ahr	->	Mospd2
Ahr	->	Pafah1b2
Ahr	->	Phf8
Ahr	->	Slc25a36
Ahr	->	Tagap
Ahr	->	Txndc11
Zfp14	->	Fgd2
Zfp14	->	Rasd2
Zfp14	->	Smad7
Zfp14	->	Arhgap31
Zfp14	->	Cd200r1
Zfp14	->	Iqgap2
Zfp14	->	Zfp14
Zfp14	->	E330020D12Rik
Zfp14	->	Lrrtm2
Zfp14	->	Slc7a3
Zfp14	->	Armc2
Zfp14	->	Gpr34
Zfp14	->	Rhoq
Gm14327	->	5730422E09Rik
Gm14327	->	Itga9
Gm14327	->	Ntn1
