Source	Interaction	Target
Hmgb2	->	Anxa2
Hmgb2	->	Arpc5
Hmgb2	->	Calm1
Hmgb2	->	Cdca3
Hmgb2	->	Cnn2
Hmgb2	->	Coro1a
Hmgb2	->	Emp3
Hmgb2	->	Hmgb1
Hmgb2	->	Hmgb2
Hmgb2	->	Klf2
Hmgb2	->	Lsp1
Hmgb2	->	Ptma
Hmgb2	->	Rrm2
Hmgb2	->	S100a10
Hmgb2	->	Tmsb4x
Hmgb2	->	Tpm4
Hmgb2	->	Tuba1a
Hmgb2	->	Tubb5
Hmgb2	->	Vim
Hmgb2	->	Ywhah
Foxj3	->	Bhlhe40
Foxj3	->	Brca1
Foxj3	->	Gnb1
Foxj3	->	Pdha1
Foxj3	->	Prdx1
Foxj3	->	St3gal2
Foxj3	->	Tanc2
Foxj3	->	Upf1
Suz12	->	Aftph
Suz12	->	Brd2
Suz12	->	Caskin2
Suz12	->	Cbx3
Suz12	->	Ctcf
Suz12	->	E2f8
Suz12	->	Elf4
Suz12	->	Fbxl22
Suz12	->	Gorab
Suz12	->	Hist1h1e
Suz12	->	Hoxb7
Suz12	->	Klf11
Suz12	->	Kpnb1
Suz12	->	Myh9
Suz12	->	Necab3
Suz12	->	Nup98
Suz12	->	Ogfod1
Suz12	->	Pafah1b1
Suz12	->	Rock1
Suz12	->	Rorb
Suz12	->	Slc20a2
Suz12	->	Slc25a39
Suz12	->	Slc38a1
Suz12	->	Suz12
Suz12	->	Zfr
Suz12	->	Zfyve16
Cebpb	->	Akt1s1
Cebpb	->	Cebpb
Cebpb	->	Cstad
Cebpb	->	Cuedc2
Cebpb	->	Cyp2r1
Cebpb	->	Ptgfrn
Cebpb	->	Cebpb
Cebpb	->	Ndufa4
Cebpb	->	4930523C07Rik
Cebpb	->	Bbx
Cebpb	->	Cdc42ep4
Cebpb	->	Cebpb
Cebpb	->	Irf8
Cebpb	->	Krt10
Cebpb	->	Ppp2r2a
Cebpb	->	Rfwd2
Cebpb	->	Rtp4
Cebpb	->	Trf
Cebpb	->	Ado
Cebpb	->	Btbd9
Cebpb	->	Cebpb
Cebpb	->	Csrnp2
Cebpb	->	Dock8
Cebpb	->	Dr1
Cebpb	->	Eml4
Cebpb	->	Fgf2
Cebpb	->	Glrx
Cebpb	->	Golga7b
Cebpb	->	Hdac5
Cebpb	->	Ikzf3
Cebpb	->	Lats2
Cebpb	->	Mcm3
Cebpb	->	Ppp1r12b
Cebpb	->	Ptma
Cebpb	->	Serpina3f
Cebpb	->	Tceal8
Cebpb	->	Usp1
Cebpb	->	Zfp69
Cebpb	->	Arih2
Cebpb	->	Cebpb
Cebpb	->	Ddx1
Cebpb	->	Disc1
Cebpb	->	Eno1
Cebpb	->	Gins3
Cebpb	->	Intu
Cebpb	->	Myef2
Cebpb	->	Prune2
Cebpb	->	Rgs1
Cebpb	->	Samsn1
Cebpb	->	Traf5
Cebpb	->	Tubgcp3
Cebpb	->	Actr3
Cebpb	->	Cdc6
